시간,총액,현금,카드,현금영수증,할인,거래건수
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,"1,154,300","35,800","1,118,500",0,0,36
9,"1,763,200",0,"763,200","1,000,000",0,35
10,"154,600","10,300","144,300",0,0,7
11,"143,900","4,000","139,900",0,0,8
12,"5,637,290","411,400","5,225,890",0,"8,410",301
13,"12,534,420","574,000","11,860,020","100,400","50,380",742
14,"15,003,440","309,200","14,677,240","17,000","33,160",842
15,"13,828,090","663,520","12,834,070","330,500","249,810",775
16,"8,768,700","466,150","8,268,550","34,000","19,000",506
17,"5,181,980","238,300","4,904,380","39,300","25,120",288
18,"7,993,690","307,800","7,661,590","24,300","43,110",431
19,"15,991,580","547,650","15,385,030","58,900","68,320",834
20,"10,993,350","390,450","10,454,400","148,500","43,850",613
21,"2,149,070","85,300","2,063,770",0,"2,530",152
22,"20,200",0,"20,200",0,0,2
23,0,0,0,0,0,0
 합  계,"101,317,810","4,043,870","95,521,040","1,752,900","543,690","5,572"