메 뉴,품 목,단가(원),단위,수량,개별가,사용량,사용 단가,사용단가 합계,판매가격,원가율
헤이즐 아메I,에스프레소,"44,000",40g,1000,44,20,880,1263,4500,0.280666667
,헤이즐 시럽,"12,750",20g,1000,13,30,383,,,
,물,,180ml,1000,,200,,,,
,얼음,,150g,1000,,,,,,
,,,,1000,,,,,,
,,,,1000,,,,,,
,,,,1000,,,,,,
,,,,1000,,,,,,
,,,,1000,,,,,,
,,,,1000,,,,,,
카페라떼I,에스프레소,"44,000",40g,1000,44,20,880,"1,640",4800,34%
,우유,"3,800",180ml,1000,4,200,760,,,
,얼음,,150g,1000,,,,,,
,,,,1000,,,,,,
,,,,1000,,,,,,
,,,,1000,,,,,,
,,,,1000,,,,,,
,,,,1000,,,,,,
,,,,1000,,,,,,
,,,,1000,,,,,,
돌체라떼I,에스프레소,"44,000",40g,1000,44,20,880,"1,831",5300,35%
,연유,"29,000",30g,5000,6,33,191,,,
,우유,"3,800",150ml,1000,4,200,760,,,
,얼음,,150g,1000,,,,,,
,,,,1000,,,,,,
,,,,1000,,,,,,
,,,,1000,,,,,,
,,,,1000,,,,,,
,,,,1000,,,,,,
,,,,1000,,,,,,
바닐라빈라떼I,에스프레소,"44,000",40g,1000,44,20,880,2558,5300,48%
,빅트레인 바닐라 파우더,"29,800",25g,1590,19,30,562,,,
,바닐라빈 시럽,"8,890",10g,750,12,30,356,,,
,우유,"3,800",160ml,1000,4,200,760,,,
,얼음,,150g,1000,,,,,,
,,,,1000,,,,,,
,,,,1000,,,,,,
,,,,1000,,,,,,
,,,,1000,,,,,,
,,,,1000,,,,,,
사케라또I,에스프레소,"44,000",40g,1000,44,20,880,906,4800,19%
,설탕 시럽,"3,900",15ml,1500,3,10,26,,,
,얼음,,100g,1000,,10,,,,
,,,,1000,,,,,,
,,,,1000,,,,,,
,,,,1000,,,,,,
,,,,1000,,,,,,
,,,,1000,,,,,,
,,,,1000,,,,,,
,,,,1000,,,,,,