timestamp,q1_awareness_rangdosha,q2_satisfaction_pistachio,q2_1_reason_pistachio,q3_satisfaction_darkhazelnut,q3_1_reason_darkhazelnut,q4_expression_rangdosha,q5_market_position,q6_opinion_date_topping,q7_opinion_local_story,q8_satisfaction_package,q8_1_reason_package,q9_price_opinion,q10_price_expectation,q11_purchase_intent,q12_improvement_priority,q12_1_reason_improvement,q13_strengths,q14_pairing_food,q15_opinion_leaflet,q15_1_reason_leaflet,q16_gender,q17_additional_comment
2025/05/01 1:04:49 오후 GMT+9,"아니요, 처음 들어봅니다.",5,,5,,간편하게 즐길 수 있는 디저트,중저가 선물 세트;지역 특산물 연계 상품,대추 토핑 맛이 느껴지지 않았다,"괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",5,,2,,맛있긴 했지만 조금 더 고민해볼 것 같다,가격,조금 비싼것 같다,패키징이 이쁘다,없음,심미적으로 좋다,,남,
2025/05/01 1:05:29 오후 GMT+9,"네, 알고 있습니다.",5,,5,,선물용으로 적합한 프리미엄 디저트,프리미엄 선물 세트,"신선하고 독특하다, 좋았다","괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",5,,3,,맛있긴 했지만 조금 더 고민해볼 것 같다,맛,맛있어요,맛있어뇨,맛있아뇨,"귀찮다, 인상 깊지 않다;설명이 부족하다",,여,
2025/05/01 1:05:33 오후 GMT+9,"네, 알고 있습니다.",4,피스타치오 맛을 느껴볼 생각에 한번만으로는 갸우뚱하지만 맛있는,4,진한맛이 압도 (유사제품과 같이먹으면서 비교해보고싶음),간편하게 즐길 수 있는 디저트,중저가 선물 세트,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,4,요즘 스러우면서도 부담스럽지않은,2,8900원 느낌,맛있긴 했지만 조금 더 고민해볼 것 같다,가격,가격부담으로 다가올듯,새로운 접근,아아,심미적으로 좋다,,남,
2025/05/01 1:05:36 오후 GMT+9,"네, 알고 있습니다.",4,,3,,간편하게 즐길 수 있는 디저트;청도 지역 특산물의 맛을 살린 디저트,지역 특산물 연계 상품,"신선하고 독특하다, 좋았다","괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",4,,2,,맛있긴 했지만 조금 더 고민해볼 것 같다,가격,1박스에 11000원이 넘는 가격은 부담되는 것 같아요.,청도 특산물을 살린 디저트,커피,제품을 이해하는데 도움이 된다,,여,
2025/05/01 1:09:40 오후 GMT+9,"네, 알고 있습니다.",5,색달라요,3,맛이 평범해요 조금 써요,트렌디하고 인스타그램에 잘 어울리는 디저트;선물용으로 적합한 프리미엄 디저트,중저가 선물 세트,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,5,귀엽고 발랄해요,4,지금 적절한것같아요,바로 구매하고 싶다,맛,다른 맛도 나왔으면 좋겠어요,"대추토핑, 예쁜 패키징",우유,제품을 이해하는데 도움이 된다,설명이 있어서 좋고 예뻐요,여,
2025/05/01 1:10:31 오후 GMT+9,"네, 알고 있습니다.",5,,5,,전통과 현대가 조화된 창의적인 디저트;청도 지역 특산물의 맛을 살린 디저트,프리미엄 선물 세트;중저가 선물 세트,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,5,,4,,선물용으로 고려 중이다,마케팅 및 홍보,홍보만 잘 이뤄진다면 독특함을 찾는 이들에게 좋을 듯 합니다.,지역특산물 콜랩,밀크티/커피,제품을 이해하는데 도움이 된다;심미적으로 좋다,,남,
2025/05/01 1:10:49 오후 GMT+9,"네, 알고 있습니다.",4,,5,,전통과 현대가 조화된 창의적인 디저트;간편하게 즐길 수 있는 디저트,프리미엄 선물 세트;지역 특산물 연계 상품,특별하긴 했으나 조금 낯설었다,지역 특산물을 현대적으로 잘 살린 것 같다,5,,5,,맛있긴 했지만 조금 더 고민해볼 것 같다,제품 종류,더 다양한 맛이 있었으면 좋겠습니다,간단하게 먹을 수 있는 것?,바닐라 아이스크림,제품을 이해하는데 도움이 된다;예상치 못했다,,여,
2025/05/01 1:11:35 오후 GMT+9,"네, 알고 있습니다.",5,너무 맛있어요! 식감이 좋아요!,3,피스타치오와 비교하면 살짝 초코맛이 부족해서 아쉽습니다,선물용으로 적합한 프리미엄 디저트;간편하게 즐길 수 있는 디저트,중저가 선물 세트,대추 토핑 맛이 느껴지지 않았다,지역 특산물을 현대적으로 잘 살린 것 같다,4,디자인이 아름다워 눈길을 사로잡았습니다!,4,9900,선물용으로 고려 중이다,포장,포장지가 예쁜데 사고 들고다닐때 불편할꺼 같아요,맛있어요,우유,제품을 이해하는데 도움이 된다;심미적으로 좋다,,남,
2025/05/01 1:12:47 오후 GMT+9,"네, 알고 있습니다.",4,다크 초콜릿이 더 맛있었던 것 같아요. 그래도 피스타치오도 달달하고 맛있었습니다.,5,초코가 잘 어울렸고 초코와 대추의 조화가 좋았다.,전통과 현대가 조화된 창의적인 디저트;청도 지역 특산물의 맛을 살린 디저트,중저가 선물 세트;지역 특산물 연계 상품,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,4,귀엽게 잘한 것 같지만 좀 더 전통적인 면을 살려도 좋을 것 같다.,2,"10,900",선물용으로 고려 중이다,맛,화이트 초콜릿에 입에 남는 느낌이 깔끔하지 못한 느낌이었다.,대추와 초코의 조화가 큰 장점 같다.,우유,"귀찮다, 인상 깊지 않다;설명이 부족하다",전통을 어떻게 살린지 잘 모르겟음,남,
2025/05/01 1:13:35 오후 GMT+9,"네, 알고 있습니다.",5,너무 달지 않고 고급진 달달한 맛입니다. 최근에 페레로 로셰 화이트 초코맛을 먹었는데 비슷한 느낌이 들었습니다,4,초콜릿이 시중에 팔리는 제품 맛(abc초콜릿)이 강하게 나요. 브랜드 본연의 맛이 부족한 느낌입니다,간편하게 즐길 수 있는 디저트,프리미엄 선물 세트,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,5,깔끔하고 고급집니다,2,좀 비싼것 같습니다 개당 1200원해서 10800원이 적당할것 같습니다,맛있긴 했지만 조금 더 고민해볼 것 같다,가격,비싼 느낌이 있습니다,맛입니다,단짠 느낌으로 짠 참치캔?,심미적으로 좋다,기대 안했는데 갑자기 제품 설명서를 봤을때 되게 적극적이라는 생각이 들었습니다,남,고생하십니다
2025/05/01 1:14:24 오후 GMT+9,"네, 알고 있습니다.",4,,5,,전통과 현대가 조화된 창의적인 디저트;선물용으로 적합한 프리미엄 디저트,중저가 선물 세트;지역 특산물 연계 상품,"신선하고 독특하다, 좋았다","괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",5,색감이 편안한 느낌이 든다.,2,"9,900원",선물용으로 고려 중이다,가격,다양한 채널을 통해 접근이 되었으면 좋겠다. 카페에서 커피와 곁들어 먹고 싶은 디저트이다.,맛이 자극적이지 않은 것.,따뜻한 커피,제품을 이해하는데 도움이 된다;심미적으로 좋다,,남,
2025/05/01 1:16:01 오후 GMT+9,"네, 알고 있습니다.",3,개취 아니에욥,4,잠을 안 자서 그런가 약간 과자에서 기름 냄새 느끼한 느낌,전통과 현대가 조화된 창의적인 디저트;선물용으로 적합한 프리미엄 디저트,프리미엄 선물 세트;중저가 선물 세트,"신선하고 독특하다, 좋았다",호불호가 갈릴 수 있겠다고 생각했다,5,패키지 색감이 황리단길이랑 디저트랑 잘 어울려요,4,"11,900",선물용으로 고려 중이다,포장,냉장보관 했을 때 냉장고 냄새가 약간 나요,선물용,커피,제품을 이해하는데 도움이 된다;심미적으로 좋다,"개인적으로 스누캣을 선물용으로 인식하고 있어서, 더 성의있어 보여요",여,
2025/05/01 1:33:15 오후 GMT+9,"아니요, 처음 들어봅니다.",3,큰 매력을 별로 느끼지 못했다. 대추의 식감이 유독 더 딱딱한 듯.,5,달고 맛있다. 초콜릿이 진한 편.,간편하게 즐길 수 있는 디저트,저가형 간식;중저가 선물 세트,특별하긴 했으나 조금 낯설었다,"괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",2,랑그드샤와의 관련성을 모르겠고 조금 유치한 것 같다.,2,9900~10900원 사이,맛있긴 했지만 조금 더 고민해볼 것 같다,포장,"개별 포장의 퀄리티가 낮아보이고, 뜯을 때 이상하게 뜯기는 경우가 많다. (제대로 뜯기지 X)","라이트하게 먹기 좋고, 또 먹고 싶어진다.",달달한 카페 음료수. 커피가 잘 어울릴 듯.,"귀찮다, 인상 깊지 않다;불필요하다","스토리를 설명하고자 있는 것은 알겠으나, 퀄리티가 마냥 좋아보이지도 않고 거슬린다.",여,
2025/05/01 2:11:58 오후 GMT+9,"네, 알고 있습니다.",4,,5,진짜 맛있어요! 조합 짱!,트렌디하고 인스타그램에 잘 어울리는 디저트;선물용으로 적합한 프리미엄 디저트;간편하게 즐길 수 있는 디저트,중저가 선물 세트;지역 특산물 연계 상품,특별하긴 했으나 조금 낯설었다,지역 특산물을 현대적으로 잘 살린 것 같다,5,편안한 분위기,3,1만원,바로 구매하고 싶다,가격,경쟁력,맛있어요,에이드,제품을 이해하는데 도움이 된다;예상치 못했다;심미적으로 좋다,,남,
2025/05/01 2:26:42 오후 GMT+9,"네, 알고 있습니다.",2,화이트 초콜릿 불호,4,아몬드와 초코의 조화,선물용으로 적합한 프리미엄 디저트;청도 지역 특산물의 맛을 살린 디저트,프리미엄 선물 세트;중저가 선물 세트,"신선하고 독특하다, 좋았다","괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",3,"로고는 세로, 이름은 가로인 점이 혼란스러움, 내지처럼 차라리 덜 알록달록한 게 깔끔할 것 같음",3,9000,맛있긴 했지만 조금 더 고민해볼 것 같다,식감,랑그드샤 치고 입에서 사르르 녹지 않아요 ㅠㅠ,맛있어요,없음 단독 !,설명이 부족하다,피스타치오 맛에 헤이즐넛이 들어있는 것처럼 보여요,여,
2025/05/01 6:29:19 오후 GMT+9,"네, 알고 있습니다.",5,다크 초콜릿에 비해 단맛이 더 강해 첫맛이 좋았습니다! 다만 많이 달달 한편 같아서 한번에 많이 멋지는 못하고 한두개 정도 만족하면서 먹을 수 있을거 같아요!,4,다크 초콜릿 경우 피스타치오에 비해 확 단 맛은 없었어서 처음에는 피스타치오가 더 맛있다 생각 했었는데 먹으면 먹을 수록 많이 달지 않고 맛있어서 좋았습니다! ,트렌디하고 인스타그램에 잘 어울리는 디저트;간편하게 즐길 수 있는 디저트,중저가 선물 세트,"신선하고 독특하다, 좋았다","괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",5,,3,,맛있긴 했지만 조금 더 고민해볼 것 같다,가격,9개 12900원 이라는 가격이 합리적인 것 같으면서도 랑그드샤가 작은 편이어서 막상 먹기 시작허면 금방 사라져 버려서 비싸게 느껴지는 부분이 있는 것 같습니다.,맛,우유,제품을 이해하는데 도움이 된다;심미적으로 좋다,,남,