timestamp,q1_awareness_rangdosha,q2_satisfaction_pistachio,q2_1_reason_pistachio,q3_satisfaction_darkhazelnut,q3_1_reason_darkhazelnut,q4_preferred_flavor,q5_expression_rangdosha,q6_opinion_date_topping,q7_opinion_local_story,q8_satisfaction_package,q9_opinion_leaflet,q10_package_identification,q10_1_reason_package_identification,q11_price_opinion,q11_1_price_expectation,q12_purchase_intent,q13_gender,q14_additional_comment
2025/05/28 5:01:17 오후 GMT+9,"아니요, 처음 들어봅니다.",5,맛있어요!!,,,,프리미엄 설문용 디저트,독특해서 좋았다,스토리가 있다는 것을 알기 어려웠다,5,심미적으로 좋다,3,,2,10000원,고려 해볼 것 같다,여,
2025/05/28 5:02:59 오후 GMT+9,"아니요, 처음 들어봅니다.",5,"맛 좋아요.  꿀 처럼 달달하고, 식감도 좋아요.",5,"좀 맛이 찐한데, 강한맛이 좋아요!",피스타치오,트렌디하고 인스타그램에 잘 어울리는 디저트;간식용 디저트,독특해서 좋았다,지역 특산물을 현대적으로 잘 살린 것 같다,5,제품을 이해하는데 도움이 된다;설명이 부족하다;심미적으로 좋다,4,좀 다르게 구분할수 있도록 하면 좋을듯,3,개당 5백 -7백원,구매 의사가 없다,남,
2025/05/28 5:03:54 오후 GMT+9,"네, 알고 있습니다.",5,너무 달지 않고 바삭바삭합니당,4,다크초콜릿의 쌉싸름한 맛이 호불호가 갈릴 것 같습니다,피스타치오,트렌디하고 인스타그램에 잘 어울리는 디저트;간식용 디저트,독특해서 좋았다,"괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",5,제품을 이해하는데 도움이 된다;심미적으로 좋다,4,글자가 눈에 잘 보였습니다,4,9900원..,고려 해볼 것 같다,여,
2025/05/28 5:04:12 오후 GMT+9,"네, 알고 있습니다.",3,"좀 새콤한맛은 아닌데, 좀 덜 새콤달달 했으면 좋겠다",,,피스타치오,프리미엄 설문용 디저트;간식용 디저트,대추 토핑 맛이 느껴지지 않았다,"괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",5,심미적으로 좋다,5,스티커,3,9800,고려 해볼 것 같다,여,
2025/05/28 5:04:20 오후 GMT+9,"네, 알고 있습니다.",5,,5,,피스타치오,프리미엄 설문용 디저트;간식용 디저트,독특해서 좋았다,지역 특산물을 현대적으로 잘 살린 것 같다,5,제품을 이해하는데 도움이 된다,5,,3,,고려 해볼 것 같다,여,
2025/05/28 5:04:26 오후 GMT+9,"네, 알고 있습니다.",5,,5,,다크 헤이즐넛,전통과 현대가 조화된 창의적인 디저트;프리미엄 설문용 디저트,독특해서 좋았다,지역 특산물을 현대적으로 잘 살린 것 같다,5,제품을 이해하는데 도움이 된다;심미적으로 좋다,5,,2,,고려 해볼 것 같다,남,
2025/05/28 5:04:45 오후 GMT+9,"아니요, 처음 들어봅니다.",4,,4,초코맛이 약간 부족,다크 헤이즐넛,프리미엄 설문용 디저트,대추 토핑 맛이 느껴지지 않았다,스토리가 있다는 것을 알기 어려웠다,5,예상치 못했다;심미적으로 좋다,3,,5,15000,고려 해볼 것 같다,남,
2025/05/28 5:04:48 오후 GMT+9,"아니요, 처음 들어봅니다.",3,,5,,다크 헤이즐넛,트렌디하고 인스타그램에 잘 어울리는 디저트;간식용 디저트,독특해서 좋았다,지역 특산물을 현대적으로 잘 살린 것 같다,4,설명이 부족하다,5,,2,,고려 해볼 것 같다,여,
2025/05/28 5:04:52 오후 GMT+9,"네, 알고 있습니다.",3,,5,,다크 헤이즐넛,트렌디하고 인스타그램에 잘 어울리는 디저트;간식용 디저트,독특해서 좋았다,지역 특산물을 현대적으로 잘 살린 것 같다,4,설명이 부족하다,5,,1,,구매 의사가 없다,여,
2025/05/28 5:07:01 오후 GMT+9,"아니요, 처음 들어봅니다.",4,맛 자체가 좋았고 식감도 바삭하여 씹는맛이 잘 났다. 피스타치오가 느끼하지 않고 딱 좋은 양이 들어있어 좋다,5,차가운 다크초콜릿이 굉징히 맛있고 비슷한느낌의 과자로는 빈츠가 있으나 빈츠보다 굉장히 맛있는 상위호환의 과자느낌이다,다크 헤이즐넛,전통과 현대가 조화된 창의적인 디저트;지역 특산물의 맛을 살린 디저트,독특해서 좋았다,"괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",4,심미적으로 좋다,3,포장지 색깔이 둘 다 똑같이 투명하고 작은글씨로만 표기가 되있어서 바로 육안으로 확인할 정도는 못되었다,2,9000원이 개인적으로 적절하다고 생각한다 학생들이나 일반 직장인들에겐 간식으로 먹기에 조금 비싼감이있다,고려 해볼 것 같다,남,아창 좋아보여요 교수님
2025/05/28 5:07:21 오후 GMT+9,"아니요, 처음 들어봅니다.",3,피스타치오 맛이 조금 약한것 같음,4,너무 맛있다. 다크 초콜릿 맛이 쪼끔더 씁쓸했으면 좋겠다(개인 춰향),다크 헤이즐넛,트렌디하고 인스타그램에 잘 어울리는 디저트,대추와 랑그드샤가 조화롭지 못하다,지역 특산물을 현대적으로 잘 살린 것 같다,4,제품을 이해하는데 도움이 된다,2,상자 한 곳에만 있어서 구별하기 어려웠음,2,9900원이면 합리적일 것 같다.,고려 해볼 것 같다,남,화이팅!
2025/05/28 5:07:55 오후 GMT+9,"아니요, 처음 들어봅니다.",5,"은은한 달달함과 버터향, 견과류의 고소함이 잘 느껴짐",4,"다크초콜릿의 진한 맛과 달콤함을 기대했는데, 생각보다 덜 달고 맛이 약한 느낌이다.",피스타치오,간식용 디저트,대추 토핑 맛이 느껴지지 않았다,스토리가 있다는 것을 알기 어려웠다,3,컬러와 전체적인 디자인이 큰 인상을 주지 못하는 것 같다.,3,,2,7000원 혹은 그 이하,고려 해볼 것 같다,남,"다크초콜릿 맛이 조금 더 달고 진했으면 좋겠고, 두 맛의 패키징이 조금 더 직관적으로 구분되었으면 좋겠습니다.피스타치오 맛은 아주 좋았습니다 :)"
2025/05/28 5:08:04 오후 GMT+9,"아니요, 처음 들어봅니다.",4,가장자리부분과 가운데부분의 바삭함과 촉촉함의 정도 가 살짝 차이가 나서 좋지만 그 경계를 잘 없애는 것도 좋을 듯함,3,다크초콜릿의 맛이 잘 느껴지지 않았고 그냥 버터쿠키의 맛이 강했음,피스타치오,간식용 디저트,독특해서 좋았다,"괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",5,심미적으로 좋다,3,,2,,고려 해볼 것 같다,여,
2025/05/28 5:08:43 오후 GMT+9,"네, 알고 있습니다.",5,피스타치오 맛이 너무 강하지 않아서 좋아요!,4,증말 맛있는데 대추가 살짝 쌉쌀해서 먹다가 약간 놀랏어용 근데 맛있어요,피스타치오,트렌디하고 인스타그램에 잘 어울리는 디저트;간식용 디저트,대추와 랑그드샤가 조화롭지 못하다,지역 특산물을 현대적으로 잘 살린 것 같다,4,심미적으로 좋다,4,굴이 적혀있어 구분하기 좋았어용,1,,고려 해볼 것 같다,여,
2025/05/28 5:08:56 오후 GMT+9,"아니요, 처음 들어봅니다.",4,대추의 씁쓸한 맛이 듭니다! 또한 피스타치오의 특유의 맛이 덜 느껴집니다!,2,버터맛이 너무 강하게 느끼고 과자랑 초코랑 어울린다는 생각이 안 들어서 위와 같은 점수를 드립니다!,피스타치오,간식용 디저트,대추와 랑그드샤가 조화롭지 못하다,"괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",5,제품을 이해하는데 도움이 된다,2,초코맛이 더 안 느껴집니다 ㅜ,1,"7,900원",고려 해볼 것 같다,남,
2025/05/28 5:13:38 오후 GMT+9,"네, 알고 있습니다.",2,피스타치오 맛이 안남. 피스타치오보다 오히려 대추맛이 강하게 느껴짐.,3,"맛은 있는데, 너무 달기만한것같다.",피스타치오,트렌디하고 인스타그램에 잘 어울리는 디저트;전통과 현대가 조화된 창의적인 디저트,대추와 랑그드샤가 조화롭지 못하다,지역 특산물을 현대적으로 잘 살린 것 같다,3,"귀찮다, 인상 깊지 않다;있는지 몰랐다",3,스티커 색으로 먼저 구분되기 때문이다 ,2,,구매 의사가 없다,여,
2025/05/28 5:13:42 오후 GMT+9,"네, 알고 있습니다.",2,피스타치오 맛이 안남. 피스타치오보다 오히려 대추맛이 강하게 느껴짐.,3,"맛은 있는데, 너무 달기만한것같다.",피스타치오,트렌디하고 인스타그램에 잘 어울리는 디저트;전통과 현대가 조화된 창의적인 디저트,대추와 랑그드샤가 조화롭지 못하다,지역 특산물을 현대적으로 잘 살린 것 같다,3,"귀찮다, 인상 깊지 않다;있는지 몰랐다",3,스티커 색으로 먼저 구분되기 때문이다 ,2,,구매 의사가 없다,여,
2025/05/28 5:13:49 오후 GMT+9,"네, 알고 있습니다.",2,피스타치오 맛이 안남. 피스타치오보다 오히려 대추맛이 강하게 느껴짐.,3,"맛은 있는데, 너무 달기만한것같다.",피스타치오,트렌디하고 인스타그램에 잘 어울리는 디저트;전통과 현대가 조화된 창의적인 디저트,대추와 랑그드샤가 조화롭지 못하다,지역 특산물을 현대적으로 잘 살린 것 같다,3,"귀찮다, 인상 깊지 않다;있는지 몰랐다",3,스티커 색으로 먼저 구분되기 때문이다 ,2,,구매 의사가 없다,여,