timestamp,q1_gender,q2_age_group,q3_awareness_rangdosha,q4_satisfaction_pistachio,q5_satisfaction_darkhazelnut,q6_preferred_flavor,q7_expression_rangdosha,q8_opinion_date_topping,q9_opinion_local_story,q10_satisfaction_package,q11_opinion_leaflet,q12_package_identification,q13_price_opinion,q14_purchase_intent,q15_additional_comment
2025/05/20 7:11:19 오후 GMT+9,여,40대 이상,"아니요, 처음 들어봅니다.",4,4,다크 헤이즐넛,트렌디하고 인스타그램에 잘 어울리는 디저트;선물용으로 적합한 프리미엄 디저트,"신선하고 독특하다, 좋았다","괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",3,설명 부족,4,2,선물용으로 고려 중이다,
2025/05/20 7:12:57 오후 GMT+9,남,20~30대,"아니요, 처음 들어봅니다.",5,,,트렌디하고 인스타그램에 잘 어울리는 디저트;선물용으로 적합한 프리미엄 디저트,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,5,보기 좋음,5,4,바로 구매하고 싶다,
2025/05/20 7:21:24 오후 GMT+9,여,20~30대,"네, 알고 있습니다.",5,5,다크 헤이즐넛,선물용으로 적합,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,5,보기 좋음,5,4,선물용으로 고려 중이다,
2025/05/20 7:22:40 오후 GMT+9,여,20~30대,"아니요, 처음 들어봅니다.",4,5,다크 헤이즐넛,트렌디한 디저트,특별하긴 했으나 조금 낯설었다,지역 특산물을 현대적으로 잘 살린 것 같다,5,보기 좋음,4,4,선물용으로 고려 중이다,
2025/05/20 7:24:31 오후 GMT+9,여,20~30대,"네, 알고 있습니다.",4,4,다크 헤이즐넛,트렌디한 디저트;선물용으로 적합,특별하긴 했으나 조금 낯설었다,큰 매력을 느끼지 못했다,5,제품 이해 도움,3,4,고민해볼 것 같다,
2025/05/20 7:25:59 오후 GMT+9,여,20~30대,"네, 알고 있습니다.",3,3,피스타치오,트렌디한 디저트;선물용으로 적합,"신선하고 독특하다, 좋았다","괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",4,제품 이해 도움,3,3,고민해볼 것 같다,
2025/05/20 7:27:19 오후 GMT+9,남,20~30대,"아니요, 처음 들어봅니다.",5,5,다크 헤이즐넛,트렌디한 디저트;전통과 현대가 조화,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,4,제품 이해 도움,5,4,선물용으로 고려 중이다,
2025/05/20 7:28:04 오후 GMT+9,여,20~30대,"네, 알고 있습니다.",5,5,피스타치오,선물용으로 적합;청도 지역 특산물의 맛을 살린 디저트,"신선하고 독특하다, 좋았다",강조가 부족함,5,제품 이해 도움,5,5,선물용으로 고려 중이다,
2025/05/20 7:30:35 오후 GMT+9,남,20~30대,"아니요, 처음 들어봅니다.",4,,,트렌디한 디저트,대추 토핑 맛이 느껴지지 않았다,지역 특산물을 현대적으로 잘 살린 것 같다,,,1,3,선물용으로 고려 중이다,쿠키에 대추가 너무 적다
2025/05/20 7:33:08 오후 GMT+9,여,20~30대,"아니요, 처음 들어봅니다.",4,4,피스타치오,선물용으로 적합,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,3,제품 이해 도움,3,3,선물용으로 고려 중이다,
2025/05/20 7:34:00 오후 GMT+9,남,20~30대,"아니요, 처음 들어봅니다.",5,5,피스타치오,트렌디한 디저트;선물용으로 적합,"신선하고 독특하다, 좋았다",큰 매력을 느끼지 못했다,5,제품 이해 도움,1,4,고민해볼 것 같다,
2025/05/20 7:34:41 오후 GMT+9,여,20~30대,"아니요, 처음 들어봅니다.",5,5,다크 헤이즐넛,선물용으로 적합,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,5,제품 이해 도움,4,4,선물용으로 고려 중이다,
2025/05/20 7:35:51 오후 GMT+9,남,20~30대,"아니요, 처음 들어봅니다.",4,4,,선물용으로 적합;청도 지역 특산물의 맛을 살린 디저트,"신선하고 독특하다, 좋았다",큰 매력을 느끼지 못했다,3,보기 좋음,4,2,선물용으로 고려 중이다,패키지 디자인에 청도 대추가 강조 되어 있으면 좋을 것 같다. 